Medication,Medication JSON,Medication prompt (sentence format),drug,dose,unit,diluent volume,volume unit,diluent,starting rate,unit,titration dose,titration unit,titration frequency,titration goal
Epinephrine,Epinephrine 4 mg/250 mL in 0.9% sodium chloride continuous intravenous infusion starting at 0.05 mcg/kg/min and titrate by 0.01 mcg/kg/min every 5 minutes to achieve a goal MAP of 65 mmHg or greater.,"Epinephrine, prepared as 4 mg/250 mL in 0.9% sodium chloride, was started at 0.05 mcg/kg/min continuous intravenous infusion and titrated by 0.01 mcg/kg/min every 5 minutes to achieve a goal MAP of 65 mmHg or greater.",Epinephrine,4,mg,250,mL,0.9% sodium chloride,0.05,mcg/kg/min,0.01,mcg/kg/min,every 5 minutes,MAP of at least 65mmHg
Cisatracurium,Cisatracurium 200 mg/100 mL in 0.9% sodium chloride continuous intravenous infusion starting at 2 mcg/kg/min and titrate by 25-50% current dose every 2 minutes to achieve a goal of ventilator synchrony,"To achieve a goal of ventilator synchrony, a cisatracurium infusion (200 mg/100 mL 0.9% sodium chloride) was initiated at 2 mcg/kg/min continuous intravenous infusion and adjusted by 25-50% of the current rate every 2 minutes.",Cisatracurium,200,mg,100,mL,0.9% sodium chloride,2,mcg/kg/min,25-50,%,every 2 minutes,ventilator synchrony
Nicardapine,Nicardapine 40 mg/200 mL in 0.9% sodium chloride continuous intravenous infusion starting at 5 mg/hr and titrate by 2.5 mg/hr every 5 minutes to achieve a goal systolic blood pressure between 90 mmHg and 120 mmHg.,"A nicardapine infusion, prepared as 40 mg/200mL in 0.9% sodium chloride, was started at 5 mg/hr continuous intravenous infusion and titrated by another 2.5 mg/hr every 5 minutes to maintain a systolic blood pressure goal between 90 mmHg and 120 mmHg.",Nicardapine,40,mg,200,mL,0.9% sodium chloride,5,mg/hr,2.5,mg/hr,every 5 minutes,systolic blood pressure between 90 mmHg and 120mmHg
Propofol,Propofol 10 mg/mL continuous intravenous infusion starting at 5 mcg/kg/min and titrate by 5 mcg/kg/min every 5 minutes to achieve a goal RASS of -1 to -2.,"A propofol continuous intravenous infusion, from a 10 mg/mL concentration, was started at 5 mcg/kg/min and increased by 5 mcg/kg/min steps every 5 minutes to maintain light sedation with a RASS of -1 to -2.",Propofol,10,mg/mL,,,,5,mcg/kg/min,5,mcg/kg/min,every 5 minutes,RASS of -1 to -2
Midazolam,Midazolam 1 mg/mL in 0.9% sodium chloride continuous intravenous infusion starting at 0.5 mg/hr and titrate by 0.5 mg/hr every 5 minutes to achieve a goal RASS of -4 to -5.,"The patient received a continuous intravenous infusion of midazolam at a starting rate of 0.5 mg/hr (1 mg/mL in 0.9% sodium chloride), and the infusion was titrated by 0.5 mg/hr every 5 minutes to achieve a RASS goal of -4 to -5.",Midazolam,100,mg,100,mL,0.9% sodium chloride,0.5,mg/hr,0.5,mg/hr,every 5 minutes,RASS of -4 to -5
Dexmedetomidine,Dexmedetomidine 1000 mcg/250 mL in 0.9% sodium chloride continuous intravenous infusion starting at 0.2 mcg/kg/hr and titrate by 0.2 mcg/kg/hr every 20 minutes  to achieve a goal RASS of -1 to -2.,"Dexmedetomidine, diluted to 1000 mcg in 250 mL 0.9% sodium chloride, was used to achieve a goal RASS of -1 to -2; the continuous intravenous infusion was started at 0.2 mcg/kg/hr and titrated by 0.2 mcg/kg/hr every 20 minute.",Dexmedetomidine,1000,mcg,250,mL,0.9% sodium chloride,0.2,mcg/kg/hr,0.2,mcg/kg/hr,every 20 minutes,RASS of -1 to -2
Fentanyl,Fentanyl 2500 mcg/50mL continuous intravenous infusion starting at 50 mcg/hr and titrate by 25 mcg/hr every 5 minutes to achieve a goal RASS of -1 to -2.,"To achieve a goal RASS of -1 to -2, a fentanyl continuous intravenous infusion was started at 50 mcg/hr from a 2500 mcg/50 mL solution and titrated by 25 mcg/hr increments every 5 minutes.",Fentanyl,2500,mcg,50,mL,,50,mcg/hr,25,mcg/hr,every 5 minutes,RASS of -1 to -2
Lorazepam,Lorazepam 1 mg/mL in D5W continuous intravenous infusion starting at 0.5 mg/hr and titrate by 0.5 mg/hr every 10 minutes to achieve a goal RASS of -4 to -5.,"A lorazepam infusion, prepared as 1 mg/mL in D5W, was started as a continuous intravenous infusion at 0.5 mg/hr and titrated by 0.5 mg/hr every 10 minutes to achieve a goal RASS of -4 to -5.",Lorazepam,1,mg,1,mL,D5W,0.5,mg/hr,0.5,mg/hr,every 10 minutes,RASS of -4 to -5
Phenylephrine,Phenylephrine 100 mg/250 mL  in 0.9% sodium chloride continuous intravenous infusion starting at 0.2 mcg/kg/min and titrate by 0.1 mcg/kg/min every 1 minute to achieve a goal MAP of 65 or greater.,"Phenylephrine 100 mg in 250 mL of 0.9% sodium chloride was administered as a continuous intravenous infusion, starting at 0.2 mcg/kg/min and titrated by 0.1 mcg/kg/min every minute to achieve a goal MAP of 65 mmHg or greater.",Phenylephrine,100,mg,250,mL,0.9% sodium chloride,0.2,mcg/kg/min,0.1,mcg/kg/min,every 1 minute,MAP ≥ 65 mmHg
Norepinephrine,Norepinephrine 16 mg/250 mL in 0.9% sodium chloride continuous intravenous infusion starting at 0.05 mcg/kg/min and titrate by 0.01 mcg/kg/min every 5 minutes to achieve a goal MAP of 65 mmHg or greater.,"Norepinephrine, mixed as 16 mg in 250 mL of 0.9% sodium chloride, was started at 0.05 mcg/kg/min continuous intravenous infusion and titrated by 0.01 mcg/kg/min every 5 minutes to achieve a MAP of 65 mmHg or greater.",Norepinephrine,16,mg,250,mL,0.9% sodium chloride,0.05,mcg/kg/min,0.01,mcg/kg/min,every 5 minutes,MAP of 65 mmHg or greater
Hydromorphone,Hydromorphone 50 mg/50mL in 0.9% sodium chloride continuous intravenous infusion starting at 0.2 mg/hr and titrate by 0.2 mg/hr every 10 minutes to achieve a goal RASS score of -1 to -2.,"Hydromorphone continuous intravenous infusion therapy, prepared as 50 mg/50 mL 0.9% sodium chloride, was started at 0.2 mg/hr and titrated by 0.2 mg/hr adjustments every 10 minutes to achieve a goal RASS score of -1 to -2.",Hydromorphone,50,mg,50,mL,0.9% sodium chloride,0.2,mg/hr,0.2,mg/hr,every 10 minutes,RASS of -1 to -2
Milrinone,Milrinone 20 mg/100 mL in D5W continuous intravenous infusion at 0.125 mcg/kg/min.,Milrinone was given as a fixed continuous intravenous infusion at 0.125 mcg/kg/min from a 20 mg/100 mL D5W formulation.,Milrinone,20,mg,100,mL,D5W,0.125,mcg/kg/min,,,,
Dobutamine,Dobutamine 200 mg/50 mL in D5W continuous intravenous infusion at 5 mcg/kg/min.,"Dobutamine, prepared as 200 mg/50 mL in D5W, ran as a continuous intravenous infusion at 5 mcg/kg/min.",Dobutamine,200,mg,50,mL,D5W,5,mcg/kg/min,,,,
Octreotide,Octreotide 1000 mcg/100 mL in 0.9% sodium chloride continuous intravenous infusion at 50 mcg/hr.,The patient received Octreotide infused at a constant rate of 50 mcg/hr from a solution of 1000 mcg/100 mL of 0.9% sodium chloride.,Octreotide,1000,mcg,100,mL,0.9% sodium chloride,50,mcg/hr,,,,
Lidocaine,Lidocaine 4 mg/mL in D5W continuous intravenous infusion at 1 mg/min.,"Lidocaine, prepared at 4 mg/mL in D5W, was administered as a continuous intravenous infusion at 1 mg/min.",Lidocaine,1000,mg,250,mL,D5W,1,mg/min,,,,
Furosemide,Furosemide 600 mg/60 mL continuous intravenous infusion at 20 mg/hr,The patient recieved a 20 mg/hr continuous intravenous infusion of furosemide 600 mg/60mL.,Furosemide,600,mg,60,mL,,20,mg/hr,,,,
Heparin,Heparin 25000 unit/500 mL in 0.45% sodium chloride continuous intravenous infusion at 500 units/hr,The patient was given a heparin continuous intravenous infusion at a rate of 500 units/hr using a bag that was composed of heparin 25000 unit/500 mL in 0.45% sodium chloride.,Heparin,25000,unit,500,mL,0.45% sodium chloride,500,units/hr,,,,
